Rol,Testscenario,Verwacht resultaat
Gast,Open `/login?returnUrl=/admin/users`.,"Rol-isolatie: Na succesvolle login krijgt de gebruiker géén toegang tot admin-routes (Access Denied of terug naar home), omdat de rolrechten ontbreken."
Gast,Open `/access-denied`.,Uitlegpagina: Toont een heldere melding over ontbrekende rechten met veilige navigatielinks naar de homepagina en het login-scherm.
Gast,Access-denied: **Naar home** zonder login.,Fallback-beleid: Systeem dwingt een login-challenge af of stuurt de gebruiker door naar de publieke hoofdpagina volgens de ingestelde FallbackPolicy.
Gast,Open `/Error`.,"Afgeschermde foutpagina: Toont een generieke foutmelding met eventueel een request-referentie, maar verbergt alle gevoelige technische stacktraces."
Gast,Foutpagina: klik **Naar de banenkaart**.,`/`.
Gast,Banenkaart: vul adres + kies suggestie.,Origin gezet; resultaten op reistijd; suggesties sluiten.
Gast,Banenkaart: adres wissen (**Clear**).,State-reset: De geografische origin verdwijnt; de kaart valt terug naar een empty-state zonder reistijdberekeningen of toont een standaard landelijke fallback.
Gast,Banenkaart: **Gebruik mijn locatie** + toestemming.,GPS-origin; lijst herberekend.
Gast,Banenkaart: locatie **weigeren**.,"Graceful degradatie: De applicatie vangt de browserfout netjes op, toont een melding dat de locatie niet gebruikt kan worden, maar laat de handmatige adresbalk functioneel."
Gast,Banenkaart: locatie unavailable (timeout).,"Graceful degradatie: De applicatie vangt de browserfout netjes op, toont een melding dat de locatie niet gebruikt kan worden, maar laat de handmatige adresbalk functioneel."
Gast,Banenkaart: open **Filters**.,"Filter sheet/bar met keyword, type, categorie, leeftijd, loon, reistijd, uren, vervoer, radius."
Gast,Filters: **Annuleren** zonder toepassen.,State-behoud: Het filterscherm sluit onmiddellijk en de eerder ingestelde filters blijven ongewijzigd actief.
Gast,"Filters: **Toepassen/Zoeken** met combinatie (Fiets, 30 min, categorie Regulier).",Lijst + kaart gefilterd; chip-count klopt.
Gast,Filters: **Filters wissen** / chip wissen.,Die filter weg; resultaten herladen.
Gast,Filters: alle chips **wissen**.,Terug naar default; badge 0.
Gast,Filters: leeftijd selecteren.,Lonencolom mag zichtbaar worden (wages hidden zonder leeftijd).
Gast,Filters: zonder leeftijd lonen bekijken op kaart/lijst.,Privacy-bescherming: Loonbedragen blijven verborgen of uitgeschakeld zolang de geboortedatum/leeftijd van de gebruiker niet bekend is.
Gast,Filters: categorie **65+** / geschikt 65+.,Alleen passende vacatures; geen interne categoryFields-leak in UI.
Gast,Filters: categorie **Uitzendbureau**.,Uitzend-vacatures; label ‘Aangeboden door …’ waar van toepassing.
Gast,Filters: min-loon > max-loon.,Validatie-vangnet: Systeem vangt de logische tegenstrijdigheid op via client- of servervalidatie en retourneert een lege dataset of foutmelding (geen HTTP 500).
Gast,Filters: radius 1 km vs 50 km.,Set groeit/krimpt logisch rond origin.
Gast,Vervoer wisselen: Fiets / Auto / OV / Lopen.,Reistijden en volgorde veranderen; loading-state.
Gast,Sorteren: afstand / type / recent / A–Z / Z–A.,Lijst herschikt; kaart selectie blijft bruikbaar.
Gast,Mobiel: toggle **Lijst** / **Kaart**.,Weergave wisselt; selectie behouden.
Gast,Klik **Toon meer** (paginatie kaarten).,Extra vacatures; geen duplicaten-crash.
Gast,Klik jobcard / **Bekijk**.,`/vacancies/{id}` detail.
Gast,Klik kaartmarker.,Detail/selectie van die vacature.
Gast,Klik featured tile in highlight-carousel.,Die vacature geselecteerd/geopend.
Gast,Open/sluit kaartlegenda.,Legenda toont categoriekleuren; sluit weer.
Gast,Deep-link `/?company={id}` of `?companies=`.,Focus op vacatures van dat bedrijf; overige filters werken nog.
Gast,Deep-link onbekend company-id.,Lege of fallback-lijst; geen 500.
Gast,API/kaart load failure (netwerk uit).,Melding load failed; retry mogelijk via herladen/zoeken.
Gast,Lege resultaten (onmogelijke filters).,Empty-state copy (met/zonder origin).
Gast,Klik **Zoekopdracht bewaren**.,Navigeert naar `/candidate/liked` → login-gate.
Gast,Toggle **Mijn vacatures** (gast).,Niet zichtbaar of zonder effect (alleen werkgeverrollen).
Gast,Vacaturedetail: **Terug naar kaart**.,`/`.
Gast,Vacaturedetail: **Like**.,Redirect login met returnUrl naar deze vacature.
Gast,Vacaturedetail: **Delen**.,"ShareModal: WhatsApp, E-mail, Facebook, LinkedIn, X, Telegram, Signal, Kopieer link."
Gast,ShareModal: elk kanaal aanklikken.,Deeplink/share-URL opent of kopieert; modal blijft bruikbaar.
Gast,ShareModal: **Kopieer link** (clipboard geblokkeerd).,Foutmelding of fallback; geen crash.
Gast,ShareModal sluiten.,Terug op detail.
Gast,Vacaturedetail: bedrijfsnaam-link.,Publieke pagina `/{kvk}/{vestiging}` indien aanwezig.
Gast,Vacaturedetail: vervoer wijzigen.,Prompt / Fallback: Systeem vraagt alsnog om een locatie of toont een melding dat een startlocatie vereist is; geen applicatiecrash.
Gast,Vacaturedetail: **Route** zonder locatietoestemming.,Prompt / Fallback: Systeem vraagt alsnog om een locatie of toont een melding dat een startlocatie vereist is; geen applicatiecrash.
Gast,Vacaturedetail: **Route** mét locatie.,Externe maps-directions.
Gast,Vacaturedetail: **Street View**.,Optionele UI-verberging: Externe componenten worden niet geladen; ontbrekende media-URL's resulteren in het verbergen van de knop in plaats van een lege container of fout.
Gast,Vacaturedetail: **Video kijken** indien URL.,Optionele UI-verberging: Externe componenten worden niet geladen; ontbrekende media-URL's resulteren in het verbergen van de knop in plaats van een lege container of fout.
Gast,Vacaturedetail: geboortedatum opslaan voor loon.,Login-als-kandidaat vereist.
Gast,Vacaturedetail: **Solliciteren**.,CTA **Inloggen om te solliciteren** → `/login?returnUrl=…`.
Gast,Vacaturedetail: mock-interview CTA.,Niet beschikbaar of login-gate (alleen kandidaat).
Gast,Vacaturedetail: onbekende GUID.,Nette 404: Systeem retourneert een gecontroleerde Not Found-pagina of empty-state zonder gevoelige data of ongeformatteerde exceptions.
Gast,Open `/{8-cijferig kvk}`.,"Publiek bedrijfsprofiel: vestigingen + vacatures, List/Map, terug naar kaart."
Gast,Open `/{kvk}/{vestigingsnummer}`.,Publieke vestigingspagina / flyer-pad.
Gast,Open onbekend kvk-pad.,Nette 404: Systeem retourneert een gecontroleerde Not Found-pagina of empty-state zonder gevoelige data of ongeformatteerde exceptions.
Gast,Bedrijfspagina: List/Map toggle + jobcard.,Werkt analoog aan kaart; detail opent.
Gast,Bedrijfspagina: klik andere vestiging.,Navigeert naar die vestigings-URL.
Gast,Open `/vestiging/{companyId}` (QR).,Redirect naar publieke vestigings-URL of `/?company=`.
Gast,Open `/vestiging/{onbekende-guid}`.,Nette 404: Systeem retourneert een gecontroleerde Not Found-pagina of empty-state zonder gevoelige data of ongeformatteerde exceptions.
Gast,Open `/partner`.,"Partnerlandingspagina: tarieven, **Registreren**, flyer-download, WhatsApp, mail."
Gast,Partner: **Registreren**.,`/register` zonder of met lege ref.
Gast,Partner: **Download flyer**.,PDF-download; bij fout een melding.
Gast,Partner: WhatsApp- en mail-CTA.,WhatsApp/mail-deeplink met pitch.
Gast,Open `/partner/SM-XXXXXX` (geldige salescode).,Zelfde lander met ingebedde trackingcode; register `?ref=SM-…`.
Gast,Open `/partner/AM-XXXXXX` of ongeldige code.,Code-negering: Ongeldige marketing- of ambassadeurscodes worden genegeerd; de gebruiker landt op de standaard pagina of wordt doorgestuurd zonder foute cookies.
Gast,Open `/werven/{ongeldige-code}`.,Code-negering: Ongeldige marketing- of ambassadeurscodes worden genegeerd; de gebruiker landt op de standaard pagina of wordt doorgestuurd zonder foute cookies.
Gast,Open `/werven/{geldige-AM-code}`.,Referral-cookie gezet; redirect `/login?ref=…`.
Gast,Open `/ambassadeur/ref/{code}`.,Zelfde gedrag als `/werven/{code}`.
Gast,Teaser `/westland`: **Registreren**.,`/register`.
Gast,Teaser: **Inloggen** in teaser-header.,`/login`.
Gast,Teaser: **Naar de banenkaart**.,`/`.
Gast,Teaser: **Meer over Lobsy**.,`/wie-zijn-wij`.
Gast,Teaser: WhatsApp Dennis.,WhatsApp-deeplink.
Gast,Teaser: klik UTM/QR-variant (`?utm_source=…`).,Pagina laadt; teaser-engagement event (geen IP in logs).
Gast,Feedback-knop: openen.,Screenshot-capture (of skip) + dialog type Bug/Error/Feature.
Gast,Feedback: leeg versturen.,"Validatie & Tolerantie: Lege formulieren worden geblokkeerd; een falende screenshot-capture geeft een subtiele melding, maar belemmert het versturen van de tekstuele feedback niet."
Gast,Feedback: type Bug + tekst + **Versturen**.,Bedankt-melding; geen e-mail in het record; URL zonder query.
Gast,Feedback: Annuleren/sluiten.,Dialog dicht; geen record.
Gast,Feedback: screenshot-capture faalt.,"Validatie & Tolerantie: Lege formulieren worden geblokkeerd; een falende screenshot-capture geeft een subtiele melding, maar belemmert het versturen van de tekstuele feedback niet."
Gast,Lobsy-assistent FAB openen.,Chatpaneel met begroeting.
Gast,Assistent: vraag versturen.,Antwoord of typing; follow-up links navigeren.
Gast,Assistent: disclaimer-link.,`/gebruiksvoorwaarden`.
Gast,Assistent: API-fout.,"Isolatie: Het chatpaneel toont een nette foutmelding binnen de interface, maar de Floating Action Button (FAB) blijft bruikbaar voor verdere interactie."
Gast,Assistent sluiten.,FAB terug.
Gast,Direct URL `/home`.,Directe Login-challenge: Systeem onderschept de poging en dwingt een login af; er lekt geen enkele data of HTML-inhoud van het dashboard naar buiten.
Gast,"Direct `/candidate/profile`, `/employer/vacancies`, `/admin/settings`, `/salesmanager`, `/ambassadeur`.",Directe Login-challenge: Systeem onderschept de poging en dwingt een login af; er lekt geen enkele data of HTML-inhoud van het dashboard naar buiten.
Gast,Direct `/candidate/applications`.,Directe Login-challenge: Systeem onderschept de poging en dwingt een login af; er lekt geen enkele data of HTML-inhoud van het dashboard naar buiten.
Gast,Direct `/candidate/shared`.,Directe Login-challenge: Systeem onderschept de poging en dwingt een login af; er lekt geen enkele data of HTML-inhoud van het dashboard naar buiten.
Gast,Open `/candidate/liked` als gast.,Login-gate: De gebruiker wordt opgevangen door een inlog-modal of gate; er wordt absoluut geen favorieten-data getoond.
Gast,Liked-gate: kies e-mail/login.,`/login` met returnUrl `/candidate/liked`.
Gast,Open `/banen`.,Redirect naar `/`.
Gast,Open `/register` stap 1: lege KVK zoeken.,Validatie required.
Gast,Register: ongeldig KVK-nummer.,"Blokkade & Alternatief: Systeem vangt KVK-fouten af, weigert dubbele claims en biedt bij een KVK-storing een handmatige invoeroptie met de status KVK in afwachting."
Gast,Register: stub KVK `12345678` (werkgever) **Zoek vestigingen**.,Lijst vestigingen; bezette tonen ‘in gebruik’ zonder eigenaar-PII.
Gast,Register: vestiging die al in gebruik is.,"Blokkade & Alternatief: Systeem vangt KVK-fouten af, weigert dubbele claims en biedt bij een KVK-storing een handmatige invoeroptie met de status KVK in afwachting."
Gast,Register: claim-pad starten.,Contact/claim-flow i.p.v. nieuwe org; takeover later bij eigenaar.
Gast,Register: vrije vestiging kiezen.,Stap Scope.
Gast,Register: scope **Organisatie** vs **Alleen deze vestiging**.,Volgende stap Contact; rol/scope server-side (geen Intermediair claimen met de hand).
Gast,Register: stub KVK `55667788` (SBI 78).,Na verificatie Intermediair; niet tijdens KVK-storing.
Gast,Register: KVK-storing (unavailable).,"Blokkade & Alternatief: Systeem vangt KVK-fouten af, weigert dubbele claims en biedt bij een KVK-storing een handmatige invoeroptie met de status KVK in afwachting."
Gast,Register KVK-pending: **Terug**.,Terug naar KVK-stap.
Gast,Register contact: wachtwoord te kort / mismatch.,Formulier-validatie: Knoppen worden uitgeschakeld of validatiefouten worden getoond; het account wordt niet aangemaakt zolang niet aan alle eisen is voldaan.
Gast,Register contact: voorwaarden/privacy niet aangevinkt.,Formulier-validatie: Knoppen worden uitgeschakeld of validatiefouten worden getoond; het account wordt niet aangemaakt zolang niet aan alle eisen is voldaan.
Gast,Register: sales/ambassadeur-code in veld (SM-/AM-).,Code meegestuurd; ongeldige code genegeerd of fout.
Gast,Register: geldige submit.,Activatie/OTP-stap; e-mailcode.
Gast,Register: verkeerde activatiecode.,"Token-weigering: De code wordt geweigerd, na herhaalde pogingen volgt een tijdelijke rate-limit; bij een verlopen code moet een nieuwe worden aangevraagd."
Gast,Register: **Code opnieuw versturen**.,Nieuwe code; oude ongeldig of beide binnen window.
Gast,Register: verlopen code.,"Token-weigering: De code wordt geweigerd, na herhaalde pogingen volgt een tijdelijke rate-limit; bij een verlopen code moet een nieuwe worden aangevraagd."
Gast,Open `/register/activate` zonder token.,Fout + retry naar register.
Gast,Activate met geldige token.,Succes + naar login; wachtwoord niet in UI buiten Development.
Gast,Activate takeover-wachtend.,Melding wacht op eigenaar; naar login.
Gast,Activate ongeldige/gebruikte token.,Fout; geen accountactivatie.
Gast,Notificatiebel.,Niet zichtbaar.
Gast,TokenWalletChip.,Niet zichtbaar.
Gast,Uitloggen-knop.,Niet zichtbaar; wel Inloggen.
Gast,Consent-reaccept dialog.,Niet getoond.
Gast,PageHelp `?` op banenkaart indien aanwezig.,Help-panel Doel/Werking of verborgen als geen doc.
Gast,Open `/swagger` op Web-host.,Beveiliging: De API-swagger is buiten de ontwikkelomgeving uitgeschakeld en retourneert een HTTP 404 of toegang geweigerd.
Gast,Open `/tokens/checkout-stub` of payout-stubs.,Toegangscontrole: Retourneert direct een login-challenge of HTTP 403; anonieme betalingen of payouts zijn fundamenteel uitgesloten.
Alle ingelogde rollen,Na login vanaf `/` of `/banen`.,Redirect naar `/home` (role dashboard). Andere local returnUrls blijven behouden.
Alle ingelogde rollen,Klik header **Uitloggen**.,POST logout + antiforgery; landt op `/`; sessie weg.
Alle ingelogde rollen,Uitloggen en daarna Back-button naar `/home`.,Opnieuw login-challenge; geen cached dashboard-PII.
Alle ingelogde rollen,"Klik elke footer-link (Privacy, Voorwaarden, Gebruik, Wie zijn wij, Westland).",Pagina’s laden; sessie blijft; terug-nav werkt.
Alle ingelogde rollen,Wissel taal nl/en/pl/ro/ar.,Labels vertalen; RTL voor ar; formulieren blijven intact.
Alle ingelogde rollen,Klik PageHelp `?` op een pagina mét helpdoc.,Panel Doel / Werking / Waarvoor.
Alle ingelogde rollen,Klik PageHelp op een pagina zonder doc.,Knop verborgen of leeg; geen crash.
Alle ingelogde rollen,Open **Notificaties**-bel.,Paneel; empty-state ‘Nog geen berichten’ of lijst; badge klopt.
Alle ingelogde rollen,Notificatie: **Alles gelezen**.,Badge 0; items read.
Alle ingelogde rollen,Klik een notificatie-item / action-link.,Mark read + navigatie naar DeepLink/ActionUrl.
Alle ingelogde rollen,Notificaties: paneel sluiten en heropenen na ~45s poll.,Nieuwe items verschijnen zonder volledige reload.
Alle ingelogde rollen,Feedback Bug/Error/Feature versturen vanaf role-home.,"Thanks; admin ziet rolweergavenaam, geen e-mail, URL zonder query."
Alle ingelogde rollen,Feedback Annuleren.,Geen ticket.
Alle ingelogde rollen,Lobsy-assistent: vraag over de eigen rol.,Antwoord + eventuele deep links naar eigen schermen.
Alle ingelogde rollen,Assistent: follow-up link klikken.,Navigeert intern; chat mag open blijven of sluiten.
Alle ingelogde rollen,Cookie-banner als keuze al gemaakt.,Niet opnieuw; analytics alleen bij accept.
Alle ingelogde rollen,"Idle > geconfigureerde timeout (default 30 min, clamp 5–480).",Redirect `/login?error=session-expired`.
Alle ingelogde rollen,Tampered `Jobsy.LastActivity` cookie.,Sessie verlopen; opnieuw inloggen.
Alle ingelogde rollen,Open `/privacy/data`.,AVG-pagina: **Exporteer JSON** en **Account afmelden**.
Alle ingelogde rollen,Klik **Exporteer JSON**.,JSON met eigen data (sollicitaties/engagement/registraties/payouts waar van toepassing); geen andermans PII; geen screenshot-bytes van feedback.
Alle ingelogde rollen,Export terwijl API faalt.,Foutmelding; geen lege ‘succes’.
Alle ingelogde rollen,**Account afmelden**: sluiten zonder code.,Geen anonymisatie.
Alle ingelogde rollen,Afmelden: reden + **Stuur code**.,E-mailcode; UI naar 6-cijferig veld.
Alle ingelogde rollen,Afmelden: verkeerde code (tot 5×) / 6e poging., geweigerd; daarna geblokkeerd + rate-limit `otp-verify`.
Alle ingelogde rollen,Afmelden: **Opnieuw versturen** / **Terug**.,Nieuwe code of terug naar reden; geen logout tot bevestigd.
Alle ingelogde rollen,Afmelden: geldige code bevestigen.,Account geblokkeerd + geanonimiseerd (IBAN/snapshots/CV-bytes); logout; logs tonen reden-code zonder free-text ReasonOther.
Alle ingelogde rollen,Na afmelden opnieuw inloggen.,Geweigerd / inactief account.
Alle ingelogde rollen,Open `/Error` ingelogd.,Generieke fout + referentie; **Naar de banenkaart**.
Alle ingelogde rollen,Open `/access-denied`.,Uitleg + links home/login.
Alle ingelogde rollen,Access-denied: **Naar home**.,`/home` van eigen rol.
Alle ingelogde rollen,CSRF: logout zonder antiforgery nabootsen.,Request geweigerd; sessie blijft tot echte logout.
Alle ingelogde rollen,Open API zonder cookie (`api/…` gevoelige routes).,401; geen PII.
Alle ingelogde rollen,Klik logo in header.,`/` banenkaart; als werkgever eventueel ‘mijn vacatures’-optie.
Kandidaat,Login met demo-account.,`/home` kandidaat-dashboard (KPI’s sollicitaties/likes/shares/reacties).
Kandidaat,Bottom-nav **Zoeken**.,`/` banenkaart.
Kandidaat,Bottom-nav **Bewaard**.,`/candidate/liked`.
Kandidaat,Bottom-nav **Sollicitaties**.,`/candidate/applications`.
Kandidaat,Bottom-nav **Profiel**.,`/candidate/profile` (active ook op `/home`).
Kandidaat,Bottom-nav **Hoe werkt Lobsy**.,`/candidate/hoe-werkt-lobsy`.
Kandidaat,TokenWalletChip.,Niet zichtbaar.
Kandidaat,Home: periode **Dag / Week / Maand / Kwartaal / Jaar**.,KPI’s herladen; actieve tab gemarkeerd; loading-skeletons.
Kandidaat,"Home: klik elke KPI-tegel (sollicitaties, likes, shares, reacties).",Tegel selected; drilldown-lijst; overview-link naar bijbehorende lijstpagina.
Kandidaat,Home: drilldown-item klikken.,Navigeert naar vacature of lijstitem.
Kandidaat,Home: drilldown overview-link.,"Naar `/candidate/applications`, liked of shared afhankelijk van metric."
Kandidaat,Home: API-fout metrics.,Graceful empty-state: De dashboard-tegel toont 0 of een nette foutmelding binnen de component; de pagina crasht niet en blijft functioneel.
Kandidaat,Home: periode zonder data.,Graceful empty-state: De dashboard-tegel toont 0 of een nette foutmelding binnen de component; de pagina crasht niet en blijft functioneel.
Kandidaat,Banenkaart als ingelogde kandidaat (alle gast-filters herhalen).,Zelfde filters; likes/apply beschikbaar; origin mag uit profiel-thuislocatie komen.
Kandidaat,Banenkaart: **Zoekopdracht bewaren**.,"Gaat naar liked (ingelogd, geen gate)."
Kandidaat,Vacaturedetail: **Like** (uit → aan).,Liked; toast; hart-state aan.
Kandidaat,Vacaturedetail: **Like** nogmaals (aan → uit).,Like verwijderd; toast removed.
Kandidaat,Like terwijl API faalt.,"UI-synchronisatie & Toast: De applicatie toont een foutmelding via de `_message` state, maar voorkomt dat de hart-icoon state desynced of de app crasht."
Kandidaat,Vacaturedetail: **Delen** + elk kanaal.,ShareModal; share geteld in engagement na daadwerkelijk delen/kopiëren volgens implementatie.
Kandidaat,Detail: **Route** / **Street View** / **Video** / bedrijfsnaam.,"Zelfde als gast, plus ingelogde locatie uit profiel indien gezet."
Kandidaat,Detail: geboortedatum opslaan.,Loon naar leeftijd; validatie ongeldige datum.
Kandidaat,Detail: DOB in de toekomst / onvolledig.,Validatiefout: Systeem weigert de opslag; de UI toont een duidelijke validatiemelding dat de datum ongeldig is.
Kandidaat,Mock-interview CTA openen.,Coach-modal start.
Kandidaat,Mock-interview: vraag beantwoorden **Verstuur**.,Volgende vraag/progress/hints.
Kandidaat,Mock-interview: **Opnieuw starten**.,Gesprek reset.
Kandidaat,Mock-interview: disclaimer + sluiten.,Modal dicht; vacature blijft.
Kandidaat,Mock-interview: API-fout.,"Foutafhandeling in modal: De coach-modal toont een foutmelding, maar de optie om opnieuw te starten (Restart) blijft beschikbaar."
Kandidaat,Solliciteren: incomplete profiel (geen beschikbaarheid/rijbewijs/ervaring/opleiding/over-jou/te weinig recensies).,Sollicitatieblokkade: De sollicitatieknop is geblokkeerd of leidt naar een checklist met ontbrekende onderdelen (zoals recensies of werkvergunning).
Kandidaat,Solliciteren: vacature met `MinimumReferences` > aantal complete recensies.,Sollicitatieblokkade: De sollicitatieknop is geblokkeerd of leidt naar een checklist met ontbrekende onderdelen (zoals recensies of werkvergunning).
Kandidaat,Solliciteren: stage-exclusiviteit zonder studentnummer/school-mail/opleiding/leerjaar.,Validatieblokkade: De CTA blijft geblokkeerd tot alle verplichte exclusiviteitsvelden correct zijn ingevuld en gevalideerd.
Kandidaat,Solliciteren: school-domein matcht niet (exclusivity regex/domain).,Weigering: Systeem blokkeert de actie of geeft een validatiefout op basis van het ingestelde domeinpatroon.
Kandidaat,"Solliciteren: match ≥ 50%, profiel compleet, voorwaarden+werkvergunning aan, optionele motivatie ≤500.",OTP-stap; code per e-mail.
Kandidaat,Apply: voorwaarden of werkvergunning uit.,Submit-blokkade: De verzendknop is uitgeschakeld of triggert een verplichte validatiemelding ('akkoord vereist').
Kandidaat,Apply: motivatie > 500 tekens.,Karakterlimiet: De invoer wordt afgekapt door de UI of geweigerd via een validatiefout op de lengte.
Kandidaat,Apply: authenticator-checkbox (feature flag aan).,Mag aan; zonder flag niet storend.
Kandidaat,Apply OTP: verkeerde 6 cijfers.,Code-weigering & Rate-limit: De code wordt afgewezen (`CodeRejected`). Na 5 pogingen wordt het verzoek tijdelijk geblokkeerd via een rate-limit.
Kandidaat,Apply OTP: **Opnieuw versturen**.,Nieuwe code; kan opnieuw bevestigen.
Kandidaat,Apply OTP: geldige code **Bevestigen**.,Sollicitatie verstuurd; success-panel; alleen verified telt in lijsten/metrics.
Kandidaat,Apply: al gesolliciteerd op dezelfde vacature.,Success/al-gesolliciteerd panel; geen tweede OTP; link **Mijn sollicitaties**; optioneel Direct contact.
Kandidaat,Direct-contact modal: WhatsApp / Bellen / Mail / Sluiten.,Deeplinks naar werkgeverkanalen indien aangeboden ná apply; sluiten werkt.
Kandidaat,Apply match < 50% (Gulden Middenweg) — o.a. `kandidaat.ver@jobsy.local`.,Vangnet-flow: Toont een waarschuwingspaneel; de kandidaat kan kiezen om het profiel aan te passen of expliciet door te gaan met een vangnet-vinkje.
Kandidaat,Vangnet: **Profiel aanpassen**.,Naar profiel met returnUrl; apply niet voltooid.
Kandidaat,Vangnet: **Toch doorgaan** + OTP afronden.,Sollicitatie met `ViaSafetyNet`; werkgever ziet match-% + vangnet-indicatie.
Kandidaat,Apply: wettelijke leeftijd/taak-vinkjes vacature (nacht/arbeidstijden).,Hard block: Systeem blokkeert de sollicitatie op basis van profieldata (zoals wettelijke nachtdienstvereisten); geen enkele UI-omzeiling mogelijk.
Kandidaat,Apply: links privacy/voorwaarden in de flow.,Openen legal pages; flow-state behouden bij terug.
Kandidaat,Match-breakdown op kaart/detail openen.,Modal met breakdown + adviezen; sluiten werkt.
Kandidaat,Sollicitaties: tabs **Alles / Open / Afgewezen / Gematched**.,Lijst filtert; empty-tab copy.
Kandidaat,Sollicitaties: klik rij.,Vacaturedetail.
Kandidaat,Sollicitaties: **Lobsy-CV downloaden**.,PDF-download eigen Lobsy-CV.
Kandidaat,Sollicitaties: **Intrekken** + bevestigen.,Status Withdrawn; snapshots/upload-CV gewist; melding.
Kandidaat,Intrekken: annuleren in confirm.,Status ongewijzigd.
Kandidaat,Intrekken: API-fout.,Foutmelding & State-behoud: Er verschijnt een foutmelding; de sollicitatie-rij blijft ongewijzigd in de lijst staan.
Kandidaat,Sollicitaties empty → **naar kaart**.,`/`.
Kandidaat,Liked: subnav **Geliked** / **Gedeeld**.,`/candidate/liked` vs `/candidate/shared`.
Kandidaat,Liked: klik card.,Vacaturedetail; unlike vanaf detail werkt terug in lijst na refresh.
Kandidaat,Liked empty → Discover `/`.,Kaart.
Kandidaat,Shared: lijst + kanaal; empty → kaart.,Toont share-kanaal; empty CTA.
Kandidaat,Hoe werkt Lobsy: alle stappen lezen.,6 stappen + deep links.
Kandidaat,How-to: link **Banenkaart** `/`.,Kaart.
Kandidaat,How-to: link **Profiel**.,`/candidate/profile`.
